s,p,o,count
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,154113
http://eurovoc.europa.eu/schema#Language,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,1056
http://www.w3.org/2004/02/skos/core#Concept,http://eurovoc.europa.eu/schema#isoCountryCode,http://www.w3.org/2001/XMLSchema#string,240
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#related,http://eurovoc.europa.eu/schema#ThesaurusConcept,43
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#related,http://www.w3.org/2004/02/skos/core#Concept,4856
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#dateTime,4
http://www.w3.org/2004/02/skos/core#Concept,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string,225
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label,159431
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://eurovoc.europa.eu/schema#useInstead,http://eurovoc.europa.eu/schema#Country,3
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#broader,http://eurovoc.europa.eu/schema#Country,10
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://eurovoc.europa.eu/schema#ThesaurusConcept,532
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2008/05/skos-xl#altLabel,http://eurovoc.europa.eu/schema#CompoundNonPreferredTerm,88
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,157484
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#translationOf,http://www.w3.org/2008/05/skos-xl#Label,61
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#fullName,http://www.w3.org/2008/05/skos-xl#Label,3533
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#acronym,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,3154
http://eurovoc.europa.eu/schema#Export,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#Export,1
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2008/05/skos-xl#altLabel,http://eurovoc.europa.eu/schema#CompoundNonPreferredTerm,88
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/terms/modified,http://www.w3.org/2001/XMLSchema#dateTime,151
